DMS_id,Spearman_complex,AUC_complex,Spearman_single,AUC_single,delta_Spearman,delta_AUC,n,target,partner,cat
Z-domain_ZSPA-1_LL1_fitness_1LP1,0.3065592405334976,0.6626562095688073,0.1591128660085791,0.550552348695294,0.1474463745249185,0.11210386087351332,45476,AB,-,4_Zdomain_no_partner
GB1_IgG-Fc_fitness_1FCC,0.494957710500244,0.7032281164839875,0.369200083189184,0.6237881396784346,0.12575762731106,0.07943997680555293,92891,C,A,18_single_target
PSD95_CRIPT_1BE9,0.3862723195276673,0.547519647460772,0.2808637839329909,0.5140364492734231,0.10540853559467639,0.033483198187348906,1577,A,B,18_single_target
KRAS_RAF1-RBD_norfitness_6VJJ,0.4919587301647055,0.7103652304299579,0.3875519174614185,0.6755599652282767,0.104406812703287,0.03480526520168126,23162,A,B,18_single_target
GB1_IgG-Fc_fitness_1FCC_2016,0.4716689867469528,0.7323095249347344,0.3803090873125974,0.6958478562420216,0.09135989943435541,0.036461668692712834,22176,C,A,18_single_target
KRAS_RALGDS-RBD_norfitness_1LFD,0.5739693891385305,0.7289166192534312,0.4841340048762038,0.7002503032110643,0.08983538426232668,0.028666316042366913,20341,B,A,18_single_target
KRAS_RAF1_norfitness_6VJJ,0.474268091460624,0.7183396153847217,0.3911933444687321,0.6827814625843287,0.08307474699189188,0.035558152800392984,12677,A,B,18_single_target
BH3_Mcl-1_normed_3KZ0,0.6625111983616473,0.9250165070980524,0.5844008209030962,0.8574612083195774,0.0781103774585511,0.06755529877847499,518,C,A,18_single_target
BH3_Bcl-xL_normed_1PQ1,0.6554169420975472,0.8682733575437438,0.5982338867592834,0.7642373720699901,0.057183055338263844,0.1040359854737537,518,B,A,18_single_target
PSD95_Tm2F_1BE9,0.2073242935623757,0.5044379621948064,0.1509447179963328,0.4852097661929866,0.056379575566042894,0.019228196001819797,1577,A,B,18_single_target
KRAS_DARPinK27_norfitness_5O2S,0.4039924199940748,0.6651185497863338,0.3537029934805071,0.6381512689346289,0.050289426513567714,0.026967280851704856,19533,A,B,18_single_target
Z-domain_ZSPA-1_LL2_fitness_1LP1,0.325765962731702,0.7627052046420474,0.2868682709703488,0.7566845510066884,0.038897691761353215,0.006020653635358975,5583,AB,-,4_Zdomain_no_partner
SARS2-RBD_ACE2_deltaKd_6M0J,0.6959936289832883,0.8864120169054981,0.6651782271639659,0.874819891952818,0.030815401819322408,0.011592124952680138,21872,E,A,18_single_target
CD19_FMC63_Fitness_7URV,0.6218993331968249,0.6855485788955411,0.5940924772525413,0.6923663607669583,0.02780685594428356,-0.006817781871417239,3886,C,D,18_single_target
CXCR4_CXCL12_enrich_8U4O,0.2030037658150084,0.5587745156314179,0.1772037570133058,0.5542547269404818,0.025800008801702606,0.004519788690936055,5585,R,J,18_single_target
5A12_VEGF_fitness_4ZFF,0.477522778613376,0.6632143265372048,0.4628256434184616,0.6679449600556612,0.01469713519491439,-0.004730633518456373,29981,HL,C,3_antibody_HL
HLA-A2_TAPBPR_meanscore_5WER,0.4069023493652398,0.6542858985233354,0.3933921054460383,0.6581841540056448,0.01351024391920147,-0.0038982554823093762,3344,A,C,18_single_target
hYAP65_peptide_FunctioncalScore_1JMQ,0.1153027032730904,0.5810967608833181,0.1116024745613154,0.5741775872166855,0.003700228711775,0.006919173666632528,18407,A,P,18_single_target
Z-domain_ZpA963_HL2_fitness_2M5A,0.3374851134999018,0.696141975308642,0.3373659187210498,0.6949691358024691,0.00011919477885197205,0.0011728395061728625,600,AB,-,4_Zdomain_no_partner
5A12_Ang2_fitness_4ZFG,0.1171141014925753,0.6262351993056848,0.1191567058859977,0.6290992498915133,-0.0020426043934223953,-0.0028640505858285037,944,HL,A,3_antibody_HL
KRAS_PICK3CG-RBD_norfitness_1HE8,0.4685668138171249,0.7125414345769092,0.4782633569044428,0.715955903362786,-0.009696543087317933,-0.003414468785876812,19203,B,A,18_single_target
ACE2_SARS2-RBD_enrich_6M17,0.265142017276136,0.500677851211659,0.2784146791342567,0.5035563974529508,-0.013272661858120705,-0.0028785462412918017,2186,B,E,18_single_target
KRAS_SOS1_norfitness_8BE4,0.3091962098527775,0.6702664332986747,0.3246040723272866,0.6967342720220484,-0.015407862474509093,-0.02646783872337366,19425,R,S,18_single_target
4D5_HER2_fitness_1N8Z,0.3153862077049826,0.7945482001972387,0.3404484154942913,0.8312813321827744,-0.025062207789308677,-0.03673313198553574,2080,AB,C,3_antibody_HL
Z-domain_ZpA963_HL1_fitness_2M5A,0.1355758603879809,0.6400432413665219,0.1997612822756908,0.6855650376191998,-0.0641854218877099,-0.04552179625267794,2904,AB,-,4_Zdomain_no_partner
